"Primary ISBN10","Primary ISBN13",Title,Author
1421552426,9781421552422,"DENGEKI DAISY, VOL. 12","Kyousuke Motomi"
1421537281,9781421537283,"DENGEKI DAISY, VOL. 2","Kyousuke Motomi"
142153729X,9781421537290,"DENGEKI DAISY, VOL. 3","Kyousuke Motomi"
1421537303,9781421537306,"DENGEKI DAISY, VOL. 4","Kyousuke Motomi"
1421537397,9781421537399,"DENGEKI DAISY, VOL. 5","Kyousuke Motomi"
1421538261,9781421538266,"DENGEKI DAISY, VOL. 6","Kyousuke Motomi"
1421539977,9781421539973,"DENGEKI DAISY, VOL. 8","Kyousuke Motomi"
162692032X,9781626920323,"DEVILS AND REALIST, VOL. 1","Madoka Takadono and Utako Yukihiro"
1937867943,9781937867942,"DICTATORIAL GRIMOIRE, VOL. 2","Ayumi Kanou"
1421527812,9781421527819,"DOGS, VOL. 3","Shirow Miwa"
1421534355,9781421534350,"DOGS, VOL. 4","Shirow Miwa"
1421538776,9781421538778,"DOGS, VOL. 5","Shirow Miwa"
1421541726,9781421541723,"DOGS, VOL. 6","Shirow Miwa"
1421527030,9781421527031,"DOGS: BULLETS AND CARNAGE, VOL. 1","Shirow Miwa"
1421533790,9781421533797,"DOROHEDORO, VOL. 5","Q Hayashida"
1421533804,9781421533803,"DOROHEDORO, VOL. 6","Q Hayashida"
0316245305,9780316245302,"DOUBT, VOL. 1","Yoshiki Tonogai"
0316245313,9780316245319,"DOUBT, VOL. 2","Yoshiki Tonogai"
1421520710,9781421520711,"DRAGON BALL Z, VOL. 8 (VIZBIG EDITION)","Akira Toriyama"
1626920044,9781626920040,"DRAGONAR ACADEMY, VOL. 1","Shiki Mizuchi and Ran"
1626920168,9781626920163,"DRAGONAR ACADEMY, VOL. 2","Shiki Mizuchi and Ran"
1626920451,9781626920453,"DRAGONAR ACADEMY, VOL. 3","Shiki Mizuchi and Ran"
162692113X,9781626921139,"DRAGONAR ACADEMY, VOL. 5","Shiki Mizuchi"
1935654276,9781935654278,"DROPS OF GOD, VOL. 1","Tadashi Agi"
0316335878,9780316335874,"DURARARA!! YELLOW SCARVES ARC, VOL. 1","Ryohgo Narita and Akiyo Satorigi"
0316204900,9780316204903,"DURARARA!!, VOL. 1","Ryohgo Narita and Akiyo Satorigi"
0316209317,9780316209311,"DURARARA!!, VOL. 2","Ryohgo Narita"
0316209325,9780316209328,"DURARARA!!, VOL. 3","Ryohgo Narita"
0316209333,9780316209335,"DURARARA, VOL. 4","Ryohgo Narita"
